fighter_id;fighter_alternate_id;category;draws;imgUrl;losses;name;nickname;wins;status;placeOfBirth;trainsAt;fightingStyle;age;height;weight;octagonDebut;reach;legReach
;umar-nurmagomedov;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/NURMAGOMEDOV_UMAR_L_01-18.png?itok=iHETqGt4;1;Umar Nurmagomedov;;18;Active;Republic of Dagestan, Russia;;MMA;29;172.72;135.00;Jan. 20, 2021;175.26;99.06
;cory-sandhagen;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SANDHAGEN_CORY_L_08-03.png?itok=h0Wtfnz-;5;Cory Sandhagen;;17;Active;Aurora, United States;;MMA;32;180.34;136.00;Jan. 28, 2018;177.8;101.6
;deiveson-figueiredo;Bantamweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/FIGUEIREDO_DEIVESON_L_04-13.png?itok=vDljbMLg;4;Deiveson Figueiredo;Deus da Guerra;24;Active;Soure, Brazil;Team Figueiredo;Boxing;37;165.1;135.00;Jun. 3, 2017;172.72;96.52
;song-yadong;Bantamweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/YADONG_SONG_L_03-09.png?itok=hTvFDc4q;8;Song Yadong;Kung Fu Kid;22;Active;Heilongjiang, China;Team Alpha Male;Boxer;27;172.72;136.00;Nov. 25, 2017;170.18;96.52
;marlon-vera;Bantamweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/VERA_MARLON_L_08-03.png?itok=i_ucHgXD;10;Marlon Vera;Chito;23;Active;Chone, Ecuador;Team 5050 Guayaquil Ecuador;Grappler;32;172.72;136.00;Nov. 15, 2014;179.07;102.87
;rob-font;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/FONT_ROB_L_02-22.png?itok=gkwya-F-;8;Rob Font;;22;Active;Leominster, United States;Sityodtong - Boston;Striker;37;172.72;138.00;Jul. 5, 2014;181.61;97.79
;henry-cejudo;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/CEJUDO_HENRY_L_02-22.png?itok=GkWSytbY;5;Henry Cejudo;Triple C;16;Active;Los Angeles, United States;Fight Ready - Scottsdale, AZ;Wrestling;38;162.56;135.00;Dec. 13, 2014;162.56;93.98
;mario-bautista;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BAUTISTA_MARIO_L_01-13.png?itok=Gf7UiNlj;2;Mario Bautista;;15;Active;Winnemucca, United States;The MMA Lab;Freestyle;31;175.26;136.00;Jan. 19, 2019;182.88;99.06
;jose-aldo;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ALDO_JOSE_L_10-05.png?itok=wNRyukeK;9;Jose Aldo;;32;Active;Manaus, Brazil;Nova Uniao;Jiu-Jitsu;38;170.18;136.00;Apr. 30, 2011;177.8;101.6
;kyler-phillips;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PHILLIPS_KYLER_L_10-19.png?itok=0LWJhXJp;3;Kyler Phillips;The Matrix;12;Active;Torrance, United States;;;29;172.72;135.50;Aug. 1, 2017;182.88;96.52
;marcus-mcghee;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MCGHEE_MARCUS_L_01-13.png?itok=7PHLMpGO;1;Marcus McGhee;The Maniac;10;Active;Detroit, United States;The MMA Lab;Brazilian Jiu-Jitsu;34;172.72;135.60;Apr. 29, 2023;175.26;96.52
;aiemann-zahabi;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ZAHABI_AIEMANN_L_11-02.png?itok=ghRfWQDW;2;Aiemann Zahabi;;12;Active;Laval, Canada;;MMA;37;172.72;135.50;Feb. 20, 2017;173.99;96.52
;montel-jackson;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/JACKSON_MONTEL_L_07-13.png?itok=cT9gFlKt;2;Montel Jackson;Quik;15;Active;Milwaukee, United States;Pura Vida BJJ & MMA;MMA;32;177.8;135.00;Aug. 4, 2018;191.77;104.14
;diego-lopes;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/LOPES_DIEGO_L_09-14.png?itok=YrFMMIIg;6;Diego Lopes;;26;Active;Manaus, Brazil;;Jiu-Jitsu;30;180.34;145.00;May. 6, 2023;184.15;104.14
;movsar-evloev;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/EVLOEV_MOVSAR_L_12-07.png?itok=q_53h1DZ;0;Movsar Evloev;;19;Active;Ingushetia, Russia;American Top Team;Freestyle;31;170.18;145.50;Apr. 20, 2019;184.15;91.44
;yair-rodriguez;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/RODRIGUEZ_YAIR_L_02-24.png?itok=47fDPRar;5;Yair Rodriguez;El Pantera;16;Active;Hidalgo Del Parral, Mexico;Izzystyle wrestling & VFS Chicago;Freestyle;32;180.34;146.00;Nov. 15, 2014;180.34;105.41
;brian-ortega;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ORTEGA_BRIAN_L_09-14.png?itok=pUV9T7HB;4;Brian Ortega;T-City;16;Active;Carson, United States;Team Ortega;Jiu-Jitsu;34;172.72;146.00;Jul. 26, 2014;175.26;99.06
;arnold-allen;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ALLEN_ARNOLD_L_07-27.png?itok=i7153C9o;3;Arnold Allen;Almighty;20;Active;Ipswich, England;BKK / Tristar;MMA;31;172.72;145.00;Jun. 20, 2015;177.8;99.06
;josh-emmett;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/EMMETT_JOSH_L_12-16.png?itok=NyxbE5Xk;4;Josh Emmett;CC0 (C-C-OH);19;Active;Phoenix, United States;Team Alpha Male  (Urijah Faber's Ultimate Fitness);Freestyle;40;168.91;146.00;May. 8, 2016;177.8;100.33
;aljamain-sterling;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/STERLING_ALJAMAIN_L_04-13.png?itok=rh3i96y4;5;Aljamain Sterling;Funk Master;24;Active;United States;Serra-Longo - Long Island, NY;Kickboxer;35;170.18;145.50;Feb. 22, 2014;180.34;99.06
;lerone-murphy;Featherweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MURPHY_LERONE_L_10-26.png?itok=iJChzpgf;0;Lerone Murphy;The Miracle;15;Active;Manchester, England;;Kickboxer;33;175.26;145.50;Sep. 7, 2019;186.69;99.06
;giga-chikadze;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/CHIKADZE_GIGA_L_08_26.png?itok=iER1mr-P;4;Giga Chikadze;Ninja;15;Active;Tbilisi, Georgia;Kings MMA;Karate;36;182.88;146.00;Sep. 28, 2019;187.96;102.87
;youssef-zalal;Featherweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/ZALAL_YOUSSEF_L_08-10.png?itok=uxWBvrql;5;Youssef Zalal;The Moroccan Devil;17;Active;Casablanca, Morocco;Factory X;Freestyle;28;177.8;146.00;Feb. 8, 2020;182.88;99.06
;bryce-mitchell;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MITCHELL_BRYCE_L_12-07.png?itok=dHLy0NT0;3;Bryce Mitchell;Thug Nasty;17;Active;Texarkana, United States;;MMA;30;177.8;146.00;Jul. 6, 2018;177.8;101.6
;calvin-kattar;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/KATTAR_CALVIN_L_04-13.png?itok=JFYKcDev;9;Calvin Kattar;;23;Active;Methuen, United States;New England MMA;Freestyle;36;180.34;146.00;Jul. 29, 2017;182.88;101.6
;dan-ige;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/IGE_DAN_L_10-26.png?itok=UMfrs3uB;9;Dan Ige;50K;18;Active;San Clemente, United States;;Jiu-Jitsu;33;170.18;146.00;Jul. 25, 2017;180.34;96.52
;arman-tsarukyan;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/TSARUKYAN_ARMAN_L_01-18.png?itok=YBzrEyRA;3;Arman Tsarukyan;Ahalkalakets;22;Active;Georgia;Syndicate MMA - Las Vegas, NV;Kickboxer;28;170.18;170.00;Apr. 20, 2019;184.15;100.33
;justin-gaethje;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/GAETHJE_JUSTIN_L_03-08.png?itok=0D0p8LR9;5;Justin Gaethje;The Highlight;27;Active;Tucson, United States;Genesis Training Center;MMA;36;180.34;156.00;Jul. 8, 2017;177.8;101.6
;dustin-poirier;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/POIRIER_DUSTIN_L_06-01.png?itok=YHikGku5;9;Dustin Poirier;The Diamond;30;Active;Lafayette, United States;American Top Team ATT Coconut Creek, FL;Jiu-Jitsu;36;175.26;155.00;Jan. 2, 2011;182.88;102.87
;dan-hooker;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/HOOKER_DAN_L_08-17.png?itok=1VAO8kcJ;12;Dan Hooker;The Hangman;24;Active;Aukland, New Zealand;Saigon Sports Club- Vietnam;MMA;35;182.88;155.50;Jun. 28, 2014;190.5;107.95
;michael-chandler;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/CHANDLER_MICHAEL_L_05-07.png?itok=HjEGNPze;9;Michael Chandler;Iron;23;Active;High Ridge, United States;Kill Cliff FC;Wrestler;38;172.72;155.60;Jan. 23, 2021;181.61;95.25
;mateusz-gamrot;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/GAMROT_MATEUSZ_L_08-17.png?itok=mnx_dQ1i;3;Mateusz Gamrot;Gamer;24;Active;Bielsko, Poland;American Top Team;Wrestling;34;177.8;156.00;Oct. 17, 2020;179.07;99.06
;beneil-dariush;Lightweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/DARIUSH_BENEIL_L_01-18.png?itok=ftQmAu56;6;Beneil Dariush;;22;Active;Iran;Kings MMA - Huntington Beach, CA;MMA;35;177.8;167.00;Jan. 15, 2014;182.88;102.87
;renato-moicano;Lightweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/12/MOICANO_RENATO_L_09-28.png?itok=tegTEuLA;6;Renato Moicano;;20;Active;Brasilia, Brazil;American Top Team;Jiu-Jitsu;35;180.34;155.00;Dec. 20, 2014;182.88;107.95
;rafael-fiziev;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/FIZIEV_RAFAEL_L_09-23.png?itok=4kI8PzCT;4;Rafael Fiziev;Ataman;12;Active;Kyrgyzstan;Tiger Muay Thai - Phuket, Thailand;Muay Thai;32;172.72;156.00;Apr. 20, 2019;181.61;101.6
;paddy-pimblett;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PIMBLETT_PADDY_L_07-27.png?itok=1rNStQm-;3;Paddy Pimblett;The Baddy;22;Active;Liverpool, England;NEXT Generation MMA;;30;177.8;156.00;Sep. 4, 2021;185.42000000000002;101.6
;benoit-saint-denis;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SAINT_DENIS_BENOIT_L_03-09.png?itok=EvDfVI0a;3;Benoit Saint Denis;God of War;13;Active;Nimes, France;Venum Training Camp Paris;MMA;29;180.34;156.00;Oct. 30, 2021;185.42000000000002;101.6
;grant-dawson;Lightweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/DAWSON_GRANT_L_01-18.png?itok=kUYN-QsN;2;Grant Dawson;KGD;23;Active;Cambria, United States;American Top Team;;31;177.8;156.00;Aug. 15, 2017;182.88;101.6
;ignacio-bahamondes;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/BAHAMONDES_IGNACIO_L_09-14.png?itok=ZJB3DbIY;5;Ignacio Bahamondes;La Jaula;17;Active;Santiago Metropolitan Region, Chile;Valle Flow Striking Academy;Freestyle;27;190.5;156.00;Apr. 10, 2021;191.77;106.68
;shavkat-rakhmonov;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/RAKHMONOV_SHAVKAT_L_12-07.png?itok=oasJwCB_;0;Shavkat Rakhmonov;Nomad;19;Active;Uzbekistan;Kill Cliff FC;Sambo;30;185.42000000000002;171.00;Mar. 21, 2020;195.58;106.68
;kamaru-usman;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/USMAN_KAMARU_L_10-21.png?itok=VXrrBgWG;4;Kamaru Usman;Nigerian Nightmare;20;Active;Auchi, Nigeria;Blackzilians - Boca Raton, FL;Freestyle;37;182.88;184.50;Jul. 12, 2015;193.04;104.14
;jack-della-maddalena;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/DELLA_MADDALENA_JACK_L_09-16.png?itok=7DAHGYPv;2;Jack Della Maddalena;;17;Active;Australia;;MMA;28;180.34;170.00;Jan. 22, 2022;185.42000000000002;102.87
;sean-brady;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BRADY_SEAN_L_09-07.png?itok=kFQlPL29;1;Sean Brady;;17;Active;Philadelphia, United States;;Jiu-Jitsu;32;177.8;182.00;Oct. 18, 2019;182.88;101.6
;joaquin-buckley;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BUCKLEY_JOAQUIN_L_05-11.png?itok=XDj4nqmA;6;Joaquin Buckley;New Mansa;21;Active;United States;;Freestyle;30;177.8;171.00;Aug. 8, 2020;193.04;101.6
;ian-machado-garry;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/GARRY_IAN_L_06-29.png?itok=seAGjSPf;1;Ian Machado Garry;The Future;15;Active;Dublin, Ireland;Team Garry;;27;190.5;171.00;Nov. 6, 2021;189.23;106.68
;gilbert-burns;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BURNS_GILBERT_L_09-07.png?itok=Euf4nStN;8;Gilbert Burns;Durinho;22;Active;Niteroi, Brazil;Jaco Hybrid Training Center;Brazilian Jiu-Jitsu;38;177.8;171.00;Jul. 26, 2014;180.34;101.6
;colby-covington;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/COVINGTON_COLBY_L_12-14.png?itok=tD3Wexca;5;Colby Covington;Chaos;17;Active;United States;MMA Masters - Miami, FL;Wrestling;37;180.34;171.00;Aug. 23, 2014;182.88;104.14
;geoff-neal;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/NEAL_GEOFF_L_10-26.png?itok=asYClZu2;6;Geoff Neal;Handz of Steel;16;Active;Austin, United States;Fortis MMA;Striker;34;180.34;171.00;Feb. 18, 2018;190.5;104.14
;stephen-thompson;Welterweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/THOMPSON_STEPHEN_L_10-05.png?itok=xsH4ldHE;8;Stephen Thompson;Wonderboy;17;Active;Greenville, United States;Upstate Karate Family Martial Arts Center;Karate;42;182.88;171.00;Feb. 4, 2012;190.5;106.68
;michael-morales;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MORALES_MICHAEL_L_08-24.png?itok=YHNrEo3b;0;Michael Morales;;17;Active;Pasaje, Ecuador;;Striker;25;182.88;171.00;Jan. 22, 2022;200.66;104.14
;carlos-prates;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PRATES_CARLOS_L_08-17.png?itok=LTLr_UYW;6;Carlos Prates;The Nightmare;21;Active;State of Sao Paulo, Brazil;The Fighting Nerds;Striker;31;185.42000000000002;170.50;Feb. 10, 2024;198.12;110.49
;vicente-luque;Welterweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/LUQUE_VICENTE_L_12-07.png?itok=PaQ1AjR6;10;Vicente Luque;The Silent Assassin;23;Active;Westwood, United States;Blackzilians - Boca Raton, FL;Muay Thai;33;180.34;170.50;Jul. 12, 2015;191.77;96.52
;michael-page;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/PAGE_MICHAEL_L_03-09.png?itok=XqoQbGfO;3;Michael Page;Venom;23;;London, England;London Shootfighters, London, UK;;37;190.5;170.00;Mar. 9, 2024;200.66;106.68
;nassourdine-imavov;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/IMAVOV_NASSOURDINE_L_09-28.png?itok=71d5JEuq;4;Nassourdine Imavov;The Sniper;16;Active;Russia;Venum Training Camp Paris;Striker;29;190.5;185.00;Oct. 3, 2020;190.5;106.68
;sean-strickland;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/STRICKLAND_SEAN_L_06-01.png?itok=Wum6qrCe;7;Sean Strickland;;29;Active;United States;Millennia MMA, Rancho, CA;MMA;34;185.42000000000002;185.00;Mar. 15, 2014;193.04;105.41
;khamzat-chimaev;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/71660%252Fprofile-galery%252Ffullbodyleft-picture%252FCHIMAEV_KHAMZAT_L_10-30.png?itok=V9OsChbC;0;Khamzat Chimaev;Borz;14;;;;Wrestler;29;187.96;185.00;Jul. 15, 2020;190.5;101.6
;israel-adesanya;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/ADESANYA_ISRAEL_L_02-01.png?itok=Qgh08Spj;5;Israel Adesanya;The Last Stylebender;24;Active;Lagos, Nigeria;City Kickboxing;Freestyle;35;193.04;185.00;Feb. 11, 2018;203.2;113.03
;robert-whittaker;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/WHITTAKER_ROBERT_L_10-26.png?itok=rmA2rxn2;8;Robert Whittaker;The Reaper;27;Active;Otahuhu, Australia;PMA, Padstow NSW, Australia;Brazilian Jiu-Jitsu;34;182.88;185.50;Dec. 16, 2012;186.69;109.22
;caio-borralho;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BORRALHO_CAIO_L_08-24.png?itok=qeKF5bhl;1;Caio Borralho;The Natural;17;Active;State of Maranhao, Brazil;The Fighting Nerds;MMA;32;186.69;186.00;Apr. 16, 2022;190.5;106.68
;jared-cannonier;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/CANNONIER_JARED_L_02-15.png?itok=4CeIbO5k;8;Jared Cannonier;Tha Killa Gorilla;18;Active;Dallas, United States;ABJJ + Gracie Barra Alaska;Striker;41;180.34;185.50;Jan. 3, 2015;196.85;105.41
;anthony-hernandez;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/HERNANDEZ_ANTHONY_L_10-19.png?itok=fizIkVKK;2;Anthony Hernandez;Fluffy;14;Active;Oakland, United States;Team Fluffy;Striker;31;182.88;186.00;Feb. 2, 2019;190.5;101.6
;roman-dolidze;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/DOLIDZE_ROMAN_L_10-05.png?itok=6FmyNM-v;3;Roman Dolidze;;15;Active;Batumi, Georgia;Xtreme Couture - Las Vegas, NV;MMA;36;187.96;186.00;Jul. 18, 2020;193.04;104.14
;marvin-vettori;Middleweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/VETTORI_MARVIN_L_03-15.png?itok=_g2dd0Xk;8;Marvin Vettori;The Italian Dream;19;Active;Trento, Italy;Kings MMA - Huntington Beach, CA;MMA;31;182.88;186.00;Aug. 21, 2016;187.96;104.14
;brendan-allen;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/ALLEN_BRENDAN_L_02-22.png?itok=obbqxSz5;7;Brendan Allen;All In;24;Active;Beaufort, United States;Kill Cliff FC;MMA;29;187.96;186.00;Oct. 18, 2019;190.5;106.68
;paulo-costa;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/COSTA_PAULO_L_06-01.png?itok=iWcdJ7qN;4;Paulo Costa;The Eraser;14;Active;State of Minas Gerais, Brazil;Team Borracha;Striker;33;185.42000000000002;185.00;Mar. 12, 2017;182.88;100.33
;reinier-de-ridder;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/DE_RIDDER_REINIER_L_01-18.png?itok=lICLoNd7;2;Reinier de Ridder;RdR;19;Active;Tilburg, Netherlands;;Jiu-Jitsu;34;193.04;184.50;Nov. 9, 2024;198.12;104.14
;michel-pereira;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PEREIRA_MICHEL_L_10-19.png?itok=Z-cWvzFL;12;Michel Pereira;Demolidor;31;Active;Maraba, Brazil;Xtreme Couture - Las Vegas, NV;Striker;31;185.42000000000002;185.50;May. 18, 2019;185.42000000000002;106.68
;roman-kopylov;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/2/KOPYLOV_ROMAN_L_01-11.png?itok=xFLtdLuK;3;Roman Kopylov;;14;Active;Kemerovo Oblast, Russia;;;32;182.88;185.50;Nov. 9, 2019;190.5;104.14
;jiri-prochazka;Light Heavyweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/PROCHAZKA_JIRI_L_01-18.png?itok=S7kn3uyt;5;Jiri Prochazka;;31;Active;Hosteradice, Czechia;JETSAAM GYM;Karate;32;190.5;204.50;Jul. 11, 2020;203.2;114.3
;jan-blachowicz;Light Heavyweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BLACHOWICZ_JAN_L_05-14.png?itok=Sro23H6g;10;Jan Blachowicz;;29;Active;Cieszyn, Poland;Ankos MMA - Zapasniczy 67, Warszawa;MMA;42;187.96;214.90;Oct. 4, 2014;198.12;111.76
;jamahal-hill;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/HILL_JAMAHAL_L_01-18.png?itok=31OdpoOU;3;Jamahal Hill;Sweet Dreams;12;Active;Chicago, United States;;MMA;33;193.04;205.50;Jan. 25, 2020;200.66;110.49
;aleksandar-rakic;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/RAKIC_ALEKSANDAR_L_10-26.png?itok=qjxvN9Vh;5;Aleksandar Rakic;Rocket;14;Active;Vienna, Austria;American Top Team Zagreb;Freestyle;33;193.04;206.00;Sep. 2, 2017;198.12;116.84
;carlos-ulberg;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ULBERG_CARLOS_L_05-11.png?itok=y8JOySUe;1;Carlos Ulberg;Black Jag;12;Active;Auckland, New Zealand;City Kickboxing;Kickboxer;34;193.04;220.50;Mar. 6, 2021;195.58;110.49
;khalil-rountree-jr;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ROUNTREE_KHALIL_L_12-09.png?itok=qN4_yzFn;6;Khalil Rountree Jr.;;14;Active;Los Angeles, United States;Syndicate MMA - Las Vegas, NV;MMA;35;185.42000000000002;205.00;Jul. 9, 2016;194.31;111.76
;nikita-krylov;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/KRYLOV_NIKITA_L_03-11.png?itok=H2IvRh4q;9;Nikita Krylov;The Miner;30;Active;;Fight Club No1 - Moscow, Russia;Karate;33;190.5;213.00;Sep. 1, 2013;196.85;113.03
;volkan-oezdemir;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/OEZDEMIR_VOLKAN_L_11-23.png?itok=BkueGFQW;8;Volkan Oezdemir;No Time;20;Active;Fribourg, Switzerland;Allstars Training Center;Striker;35;187.96;206.00;Feb. 5, 2017;190.5;102.87
;johnny-walker;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/WALKER_JOHNNY_L_06-22.png?itok=n2g3Uaz1;9;Johnny Walker;;21;Active;Belford Roxo, Brazil;SBG Ireland;MMA;32;198.12;206.00;Nov. 17, 2018;208.28;113.03
;dominick-reyes;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/REYES_DOMINICK_L_12-07.png?itok=C3ZhAAFm;4;Dominick Reyes;The Devastator;14;Active;Apple Valley, United States;Cobra Kai Victorville;Kickboxer;35;193.04;205.00;Jun. 26, 2017;195.58;110.49
;azamat-murzakanov;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MURZAKANOV_AZAMAT_L_08-03.png?itok=BRG5nU2A;0;Azamat Murzakanov;Professional;14;Active;Nalchik, Russia;;MMA;35;177.8;205.00;Nov. 20, 2021;181.61;104.14
;bogdan-guskov;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/GUSKOV_BOGDAN_L_01-18.png?itok=Xh7Vo1qh;3;Bogdan Guskov;Czarevitch;17;Active;Tashkent, Uzbekistan;;MMA;32;190.5;205.50;Sep. 2, 2023;193.04;104.14
;alonzo-menifield;Light Heavyweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/MENIFIELD_ALONZO_L_02-22.png?itok=-fZW-aZ4;5;Alonzo Menifield;Atomic;16;Active;Los Angeles, United States;;Freestyle;37;182.88;205.00;Jan. 19, 2019;193.04;104.14
;anthony-smith;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SMITH_ANTHONY_L_06-29.png?itok=EzRlEqE8;21;Anthony Smith;Lionheart;38;Active;Corpus Christi, United States;Mick Doyle's Kickboxing - Omaha, NE;Freestyle;36;193.04;205.50;Aug. 19, 2012;193.04;111.76
;ciryl-gane;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/GANE_CIRYL_L_12-07.png?itok=FskbLuVB;2;Ciryl Gane;Bon Gamin;13;Active;La Roche-sur-Yon, Vendee, France;MMA Factory - Paris, France;Muay Thai;34;193.04;245.50;Aug. 10, 2019;205.74;106.68
;alexander-volkov;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/VOLKOV_ALEXANDER_L_06-22.png?itok=OKFbCy8W;11;Alexander Volkov;Drago;38;Active;Moscow, Russia;Global Fight Gym;Brazilian Jiu-Jitsu;36;200.66;254.50;Nov. 19, 2016;203.2;120.65
;sergei-pavlovich;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/PAVLOVICH_SERGEI_L_02-01.png?itok=MY4F-Kia;3;Sergei Pavlovich;;19;Active;Russia;;MMA;32;190.5;249.00;Nov. 24, 2018;213.36;114.3
;curtis-blaydes;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BLAYDES_CURTIS_L_03-08.png?itok=_x6AInF_;5;Curtis Blaydes;Razor;18;Active;Naperville, United States;Dutch Style MMA/ UFC Gym Lombard IL;MMA;34;193.04;262.00;Apr. 10, 2016;203.2;116.84
;jailton-almeida;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/ALMEIDA_JAILTON_L_01-18.png?itok=jpP9dOKh;3;Jailton Almeida;Malhadinho;22;Active;Brazil;;Wrestler;33;190.5;235.00;Nov. 13, 2021;200.66;110.49
