fighter_id;fighter_alternate_id;category;draws;imgUrl;losses;name;nickname;wins;status;placeOfBirth;trainsAt;fightingStyle;age;height;weight;octagonDebut;reach;legReach
;natalia-silva;Women's Flyweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SILVA_NATALIA_L_09-07.png?itok=8fpolGDC;5;Natalia Silva;;18;Active;Timoteo, Brazil;Team Borracha;Taekwondo;28;162.56;125.50;Jun. 18, 2022;165.1;91.44
;jessica-andrade;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ANDRADE_JESSICA_L_09-07.png?itok=xC84GWTP;13;Jessica Andrade;Bate Estaca;26;Active;Umuarama, Brazil;PRVT Para Vale Tudo;Muay Thai;33;156.21;124.50;Jul. 27, 2013;157.48;88.9
;maycee-barber;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BARBER_MAYCEE_L_03-09.png?itok=XYMS3_hC;2;Maycee Barber;The Future;14;Active;Greeley, United States;Team Alpha Male;Freestyle;26;165.1;125.00;Nov. 10, 2018;165.1;96.52
;amanda-lemos;Women's Strawweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/LEMOS_AMANDA_L_03-08.png?itok=ebhW-khz;4;Amanda Lemos;;15;Active;Belem, Brazil;Marajo Brothers;Boxing;37;162.56;116.00;Jul. 16, 2017;165.1;91.44
;mackenzie-dern;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/22/DERN_MACKENZIE_L_01-11.png?itok=7v7Ma5Ov;5;Mackenzie Dern;;15;Active;United States;Megaton Dias BJJ;Brazilian Jiu-Jitsu;31;162.56;116.00;Mar. 3, 2018;160.02;95.25
;amanda-ribas;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/8/RIBAS_AMANDA_L_01-11.png?itok=jwdCtXE-;6;Amanda Ribas;;12;Active;Varginha, Brazil;;Judo;31;162.56;116.00;Jun. 29, 2019;167.64000000000001;93.98
;iasmin-lucindo;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/LUCINDO_IASMIN_L_04-22.png?itok=hk0a2sQR;6;Iasmin Lucindo;;17;Active;Fortaleza, Brazil;;Striker;23;160.02;115.50;Aug. 13, 2022;167.64000000000001;91.44
;marina-rodriguez;Women's Strawweight;2;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/RODRIGUEZ_MARINA_L_10-05.png?itok=l0l9sfFg;5;Marina Rodriguez;;17;Active;State of Rio Grande do Sul, Brazil;;Muay Thai;37;167.64000000000001;115.50;Sep. 23, 2018;165.1;97.79
;tabatha-ricci;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/RICCI_TABATHA_L_08-24.png?itok=izUEtuXk;3;Tabatha Ricci;Baby Shark;11;Active;State of Sao Paulo, Brazil;;Judo;30;154.94;115.50;Jun. 5, 2021;154.94;91.44
;loopy-godinez;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/GODINEZ_LOOPY_L_09-16.png?itok=WzGkSUTP;5;Loopy Godinez;;12;Active;Aguascalientes, Mexico;;;31;157.48;115.50;Apr. 17, 2021;154.94;88.9
;gillian-robertson;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ROBERTSON_GILLIAN_L_01-20.png?itok=sbiZCGHg;8;Gillian Robertson;The Savage;15;Active;Niagara Falls, Canada;;MMA;29;165.1;116.00;Dec. 1, 2017;160.02;90.17
;angela-hill;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/HILL_ANGELA_L_02-15.png?itok=_NaWmELG;14;Angela Hill;Overkill;18;Active;Clinton, United States;;Muay Thai;40;160.02;115.50;Dec. 12, 2014;163.83;97.79
;luana-pinheiro;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PINHEIRO_LUANA_L_11-09.png?itok=xdAMg7jW;4;Luana Pinheiro;;11;Active;Joao Pessoa, Brazil;;Judo;32;158.75;115.50;Mar. 27, 2021;158.75;96.52
