fight_id;fight_alternate_id;fighter_alternate_id_red;fighter_alternate_id_blue;RedFighter;BlueFighter;RedOdds;BlueOdds;RedExpectedValue;BlueExpectedValue;Date;Location;Country;Winner;TitleBout;WeightClass;Gender;NumberOfRounds;BlueCurrentLoseStreak;BlueCurrentWinStreak;BlueDraws;BlueAvgSigStrLanded;BlueAvgSigStrPct;BlueAvgSubAtt;BlueAvgTDLanded;BlueAvgTDPct;BlueLongestWinStreak;BlueLosses;BlueTotalRoundsFought;BlueTotalTitleBouts;BlueWinsByDecisionMajority;BlueWinsByDecisionSplit;BlueWinsByDecisionUnanimous;BlueWinsByKO;BlueWinsBySubmission;BlueWinsByTKODoctorStoppage;BlueWins;BlueStance;BlueHeightCms;BlueReachCms;BlueWeightLbs;RedCurrentLoseStreak;RedCurrentWinStreak;RedDraws;RedAvgSigStrLanded;RedAvgSigStrPct;RedAvgSubAtt;RedAvgTDLanded;RedAvgTDPct;RedLongestWinStreak;RedLosses;RedTotalRoundsFought;RedTotalTitleBouts;RedWinsByDecisionMajority;RedWinsByDecisionSplit;RedWinsByDecisionUnanimous;RedWinsByKO;RedWinsBySubmission;RedWinsByTKODoctorStoppage;RedWins;RedStance;RedHeightCms;RedReachCms;RedWeightLbs;RedAge;BlueAge;LoseStreakDif;WinStreakDif;LongestWinStreakDif;WinDif;LossDif;TotalRoundDif;TotalTitleBoutDif;KODif;SubDif;HeightDif;ReachDif;AgeDif;SigStrDif;AvgSubAttDif;AvgTDDif;EmptyArena;BMatchWCRank;RMatchWCRank;RWFlyweightRank;RWFeatherweightRank;RWStrawweightRank;RWBantamweightRank;RHeavyweightRank;RLightHeavyweightRank;RMiddleweightRank;RWelterweightRank;RLightweightRank;RFeatherweightRank;RBantamweightRank;RFlyweightRank;RPFPRank;BWFlyweightRank;BWFeatherweightRank;BWStrawweightRank;BWBantamweightRank;BHeavyweightRank;BLightHeavyweightRank;BMiddleweightRank;BWelterweightRank;BLightweightRank;BFeatherweightRank;BBantamweightRank;BFlyweightRank;BPFPRank;BetterRank;Finish;FinishDetails;FinishRound;FinishRoundTime;TotalFightTimeSecs;RedDecOdds;BlueDecOdds;RSubOdds;BSubOdds;RKOOdds;BKOOdds
10;20241214-miranda_maverick-jamey-lyn_horth;miranda-maverick;jamey-lyn-horth;Miranda Maverick;Jamey-Lyn Horth;-625.0;455.0;16.0;455.0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Women's Flyweight;FEMALE;3;0;1;0;3.29;0.56;0.0;1.0;0.37;1;1;9;0;0;1;1;0;0;0;2;Orthodox;170.18;167.64;125;0;3;0;3.59;0.45;0.3;2.43;0.45;3;3;27;0;0;0;4;1;2;0;7;Southpaw;160.02;165.1;125;27;34;0;-2;-2;-5;-2;-18;0;-1;-2;10.16;2.54;7;-0.3;-0.3;-1.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3.0;5:00;900.0;-295.0;650.0;500.0;2500.0;1400.0;2200.0
11;20241214-davey_grant-ramon_taveras;davey-grant;ramon-taveras;Davey Grant;Ramon Taveras;-122.0;102.0;81.9672;102.0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Bantamweight;MALE;3;0;2;0;4.63;0.45;0.0;0.0;0.0;2;1;5;0;0;1;0;1;0;0;2;Southpaw;172.72;177.8;135;1;0;0;4.77;0.42;0.2;1.26;0.41;3;6;32;1;0;1;1;3;1;0;6;Orthodox;172.72;175.26;135;38;30;-1;2;-1;-4;-5;-27;-1;-2;-1;0.0;2.54;-8;-0.14;-0.2;-1.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3.0;5:00;900.0;225.0;350.0;750.0;800.0;350.0;300.0
12;20241214-josefine_knutsson-piera_rodriguez;josefine-knutsson;piera-rodriguez;Josefine Knutsson;Piera Rodriguez;-245.0;200.0;40.8163;200.0;2024-12-14;Tampa, Florida, USA;USA;Blue;False;Women's Strawweight;FEMALE;3;2;0;0;3.64;0.47;0.0;3.11;0.41;3;2;13;0;0;0;3;0;0;0;3;Orthodox;160.02;160.02;115;0;4;0;4.87;0.51;0.0;2.0;0.72;4;0;12;0;0;0;4;0;0;0;4;Orthodox;160.02;152.4;115;28;32;2;-4;-1;-1;2;1;0;0;0;0.0;7.62;4;-1.23;0.0;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3.0;5:00;900.0;-175.0;300.0;1800.0;1400.0;800.0;1200.0
13;20241207-alexandre_pantoja-kai_asakura;alexandre-pantoja;kai-asakura;Alexandre Pantoja;Kai Asakura;-250.0;215.0;40.0;215.0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;True;Flyweight;MALE;5;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;Orthodox;172.72;175.26;125;0;6;0;4.41;0.49;0.8;2.61;0.47;6;3;42;3;0;2;4;2;4;0;12;Orthodox;165.1;170.18;125;34;31;0;-6;-6;-12;-3;-42;-3;-2;-4;7.62;5.08;-3;-4.41;-0.8;-2.61;;;0.0;;;;;;;;;;;;0.0;11.0;;;;;;;;;;;;;;Red;SUB;Rear Naked Choke;2.0;2:05;425.0;300.0;800.0;150.0;2500.0;400.0;350.0
14;20241207-shavkat_rakhmonov-ian_machado_garry;shavkat-rakhmonov;ian-machado-garry;Shavkat Rakhmonov;Ian Machado Garry;-210.0;295.0;47.619;295.0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Welterweight;MALE;3;0;8;0;5.5;0.55;0.3;0.77;0.55;8;0;20;0;0;1;4;3;0;0;8;Orthodox;190.5;187.96;170;0;6;0;4.12;0.61;1.8;1.49;0.29;6;0;11;0;0;0;0;1;5;0;6;Orthodox;185.42;195.58;170;30;27;0;2;2;2;0;9;0;2;-5;5.08;-7.62;-3;1.38;-1.5;-0.72;;7.0;3.0;;;;;;;;3.0;;;;;;;;;;;;;7.0;;;;;;Red;U-DEC;;5.0;5:00;1500.0;250.0;650.0;180.0;3000.0;240.0;700.0
15;20241207-ciryl_gane-alexander_volkov;ciryl-gane;alexander-volkov;Ciryl Gane;Alexander Volkov;-380.0;300.0;26.3158;300.0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Heavyweight;MALE;3;0;4;0;5.13;0.57;0.2;0.45;0.63;4;4;44;0;0;1;4;6;1;0;12;Orthodox;200.66;203.2;250;0;1;0;5.49;0.6;0.5;0.58;0.21;7;2;33;3;0;0;3;4;2;0;9;Orthodox;193.04;205.74;245;34;36;0;3;-3;3;2;11;-3;2;-1;7.62;-2.54;2;-0.36;-0.3;-0.13;;3.0;2.0;;;;;2.0;;;;;;;;;;;;;3.0;;;;;;;;;Red;S-DEC;;3.0;5:00;900.0;-160.0;450.0;1100.0;3000.0;350.0;1100.0
16;20241207-bryce_mitchell-kron_gracie;bryce-mitchell;kron-gracie;Bryce Mitchell;Kron Gracie;-950.0;625.0;10.5263;625.0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Featherweight;MALE;3;2;0;0;3.74;0.44;0.5;0.47;0.25;1;2;7;0;0;0;0;0;1;0;1;Southpaw;175.26;177.8;145;1;0;0;2.3;0.58;1.6;3.45;0.41;6;2;22;0;1;0;5;0;1;0;7;Southpaw;177.8;177.8;145;30;36;1;0;-5;-6;0;-15;0;0;0;-2.54;0.0;6;1.44;-1.1;-2.98;;;13.0;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;Red;KO/TKO;Elbows;3.0;0:39;639.0;-200.0;1100.0;380.0;1400.0;500.0;4000.0
17;20241207-nate_landwehr-dooho_choi;nate-landwehr;dooho-choi;Nate Landwehr;Dooho Choi;-130.0;110.0;76.9231;110.0;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Featherweight;MALE;3;0;1;1;4.41;0.53;0.8;0.75;0.37;3;3;15;0;0;0;0;4;0;0;4;Orthodox;177.8;177.8;145;0;1;0;6.25;0.46;1.0;1.0;0.41;3;3;17;0;1;0;1;1;2;0;5;Orthodox;175.26;182.88;145;36;33;0;0;0;-1;0;-2;0;3;-2;2.54;-5.08;-3;-1.84;-0.2;-0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Elbows;3.0;3:21;801.0;275.0;550.0;500.0;700.0;300.0;250.0
18;20241207-dominick_reyes-anthony_smith;dominick-reyes;anthony-smith;Dominick Reyes;Anthony Smith;-380.0;300.0;26.3158;300.0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Light Heavyweight;MALE;3;1;0;0;3.24;0.49;0.6;0.46;0.26;3;12;63;1;0;1;1;7;6;0;15;Orthodox;193.04;193.04;205;0;1;0;4.87;0.5;0.3;0.35;0.28;6;4;21;2;0;1;1;4;1;0;7;Southpaw;193.04;195.58;205;34;36;1;-1;-3;8;8;42;-1;3;5;0.0;-2.54;2;-1.63;0.3;0.11;;13.0;12.0;;;;;;12.0;;;;;;;;;;;;;13.0;;;;;;;;Red;KO/TKO;Punches;2.0;4:46;586.0;250.0;750.0;1200.0;1200.0;-125.0;800.0
19;20241207-vicente_luque-themba_gorimbo;vicente-luque;themba-gorimbo;Vicente Luque;Themba Gorimbo;-650.0;-162.0;15.3846;61.7284;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Welterweight;MALE;3;0;4;0;3.11;0.61;0.6;4.89;0.65;4;1;12;0;0;0;3;1;0;0;4;Orthodox;185.42;195.58;170;1;0;0;5.07;0.52;0.6;1.0;0.53;6;6;47;0;0;1;1;8;5;0;15;Orthodox;180.34;190.5;170;33;33;-1;4;-2;-11;-5;-35;0;-7;-5;5.08;5.08;0;-1.96;0.0;3.89;;;14.0;;;;;;;;14.0;;;;;;;;;;;;;;;;;;;Red;SUB;Anaconda Choke;1.0;0:52;52.0;450.0;130.0;450.0;900.0;600.0;450.0
20;20241207-movsar_evloev-aljamain_sterling;movsar-evloev;aljamain-sterling;Movsar Evloev;Aljamain Sterling;-238.0;195.0;42.0168;195.0;2024-12-07;Las Vegas, Nevada, USA;USA;Red;False;Featherweight;MALE;3;0;1;0;4.61;0.52;0.7;2.31;0.27;9;4;57;5;0;2;7;2;4;0;16;Orthodox;170.18;180.34;145;0;8;0;4.43;0.48;0.2;4.75;0.46;8;0;24;0;0;1;7;0;0;0;8;Orthodox;170.18;182.88;145;30;35;0;-7;1;8;4;33;5;2;4;0.0;-2.54;5;0.18;0.5;-2.44;;9.0;5.0;;;;;;;;;;5.0;;;;;;;;;;;;;9.0;;;;Red;U-DEC;;3.0;5:00;900.0;-135.0;275.0;1600.0;1100.0;550.0;1600.0
21;20241207-randy_brown-bryan_battle;randy-brown;bryan-battle;Randy Brown;Bryan Battle;150.0;-180.0;150.0;55.5556;2024-12-07;Las Vegas, Nevada, USA;USA;Blue;False;Welterweight;MALE;3;0;3;0;5.44;0.53;0.5;0.96;0.23;3;1;16;0;0;0;1;3;2;0;6;Orthodox;185.42;195.58;170;0;3;0;4.38;0.47;0.6;0.72;0.39;4;5;43;0;0;1;6;3;3;0;13;Orthodox;190.5;198.12;170;34;30;0;0;-1;-7;-4;-27;0;0;-1;-5.08;-2.54;-4;1.06;-0.1;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;3.0;5:00;900.0;400.0;185.0;1000.0;550.0;450.0;300.0
